VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,duration,is_weekend
1,1,0.7,1,N,148,79,1,5.5,0,0.5,0.5,0,0.3,6.8,5.4,1
1,2,1.3,1,N,151,143,1,8.5,0,0.5,1.86,0,0.3,11.16,9.333333333333334,1
1,1,0.7,1,N,113,234,1,5,0,0.5,0.87,0,0.3,6.67,4.216666666666667,1
2,5,1.99,1,N,231,4,1,9,0.5,0.5,2.06,0,0.3,12.36,9.833333333333334,0
1,1,3.7,1,N,13,234,1,14,0,0.5,1.5,0,0.3,16.3,14.716666666666667,1
1,1,0.5,1,N,236,236,1,4.5,0,0.5,0.79,0,0.3,6.09,3.966666666666667,0
1,1,3.8,1,N,125,52,1,14.5,0.5,0.5,2,0,0.3,17.8,18.683333333333334,1
2,1,1.68,1,N,158,13,1,7.5,0.5,0.5,1.76,0,0.3,10.56,7.216666666666667,0
2,1,0.68,1,N,239,238,1,4,0,0.5,1,0,0.3,5.8,2.2333333333333334,0
2,6,1.38,1,N,142,48,1,6.5,0.5,0.5,1.56,0,0.3,9.36,5.333333333333333,0
1,2,0.5,1,N,141,237,1,4,0,0.5,2,0,0.3,6.8,2.45,0
1,1,3.5,1,N,246,238,1,13,0.5,0.5,2.85,0,0.3,17.15,12.9,0
2,1,0.92,1,N,107,233,1,6,0,0.5,1.36,0,0.3,8.16,6.183333333333334,0
1,1,4.3,1,N,236,234,1,24,0,0.5,4.95,0,0.3,29.75,38.083333333333336,0
1,3,0.7,1,N,79,137,1,6,0.5,0.5,1.45,0,0.3,8.75,5.633333333333334,0
2,1,0.81,1,N,141,229,1,6,0,0.5,1.36,0,0.3,8.16,6.333333333333333,0
2,1,0.96,1,N,249,79,1,6.5,0.5,0.5,1.56,0,0.3,9.36,7.683333333333334,0
2,1,15.77,2,N,170,132,1,52,0,0.5,11.71,5.76,0.3,70.27,23.583333333333332,0
2,1,1.98,1,N,158,79,1,10,0.5,0.5,2.26,0,0.3,13.56,14.583333333333334,0
1,1,20,2,N,238,132,1,52,0,0.5,8.78,5.76,0.3,67.34,54.4,1
2,1,2.04,1,N,142,236,1,10,0,0.5,1.62,0,0.3,12.42,12.2,0
1,1,19.3,2,N,132,236,1,52,0,0.5,11.7,5.76,0.3,70.26,31.2,0
2,1,0.9,1,N,137,164,1,12,0,0.5,2.56,0,0.3,15.36,19.466666666666665,0
1,1,0.6,1,N,238,239,1,4,0,0.5,1.2,0,0.3,6,2.683333333333333,0
2,1,1.3,1,N,211,87,1,6.5,0.5,0.5,1.56,0,0.3,9.36,6.85,0
2,1,1.35,1,N,161,142,1,8,0,0.5,2,0,0.3,10.8,10.25,0
1,1,1.9,1,N,42,168,1,9.5,0.5,0.5,2,0,0.3,12.8,10.433333333333334,1
1,4,0.9,1,N,230,246,1,7.5,0,0.5,2.45,0,0.3,10.75,8.683333333333334,0
2,5,1.61,1,N,237,262,1,7.5,0,0.5,2.08,0,0.3,10.38,7.7,0
2,1,1.35,1,N,68,68,1,5.5,0,0.5,1.58,0,0.3,7.88,5.133333333333334,0
1,1,0.6,1,N,90,234,1,6.5,0,0.5,1.8,0,0.3,9.1,8.133333333333333,1
2,1,17.76,2,N,132,79,1,52,0,0.5,11.71,5.76,0.3,70.27,38.833333333333336,0
1,1,5.1,1,N,233,255,1,18.5,0,0.5,3.85,0,0.3,23.15,21.266666666666666,1
2,1,3.58,1,N,68,148,1,14.5,0.5,0.5,2,0,0.3,17.8,18.166666666666668,0
2,2,2.03,1,N,43,234,1,9,0.5,0.5,2.06,0,0.3,12.36,10.15,0
2,1,0.56,1,N,249,158,1,4,0.5,0.5,1.06,0,0.3,6.36,2.9166666666666665,0
2,1,0.87,1,N,140,237,1,5.5,0,0.5,1.26,0,0.3,7.56,5.316666666666666,1
1,1,1.5,1,N,161,50,1,10.5,0,0.5,2.8,0,0.3,14.1,15.916666666666666,1
1,1,1.9,1,N,164,163,1,10.5,0,0.5,2.25,0,0.3,13.55,14.116666666666667,1
1,1,2.1,1,N,194,42,1,11.5,0,0.5,3.6,5.76,0.3,21.66,15.05,1
1,1,1.1,1,N,162,137,1,6.5,0,0.5,2.15,0,0.3,9.45,7.133333333333334,0
2,1,0.99,1,N,211,148,1,6,0.5,0.5,1.46,0,0.3,8.76,5.6,0
2,1,1.68,1,N,230,170,1,8.5,0.5,0.5,1.96,0,0.3,11.76,9.433333333333334,0
1,4,2,1,N,148,87,1,10,0.5,0.5,2.25,0,0.3,13.55,12.216666666666667,1
2,1,2.12,1,N,237,239,1,11,0,0.5,1,0,0.3,12.8,13.9,1
2,1,0.73,1,N,239,238,1,5.5,0.5,0.5,0.68,0,0.3,7.48,4.516666666666667,0
1,1,6.9,1,N,137,42,1,20.5,0,0.5,3.5,0,0.3,24.8,13.55,1
1,1,7.6,1,N,48,33,1,24,0.5,0.5,6.2,5.76,0.3,37.26,22.083333333333332,0
1,1,3.9,1,N,164,238,1,15,0.5,0.5,1.63,0,0.3,17.93,18.366666666666667,0
1,1,5.6,1,N,142,13,1,20.5,0.5,0.5,4.35,0,0.3,26.15,19.866666666666667,1
1,1,1.5,1,N,107,249,1,7.5,0.5,0.5,1.76,0,0.3,10.56,7.8,0
2,1,9.38,1,N,230,65,1,33,0.5,0.5,6.86,0,0.3,41.16,41.266666666666666,1
1,1,3,1,N,238,161,1,16,0,0.5,2,0,0.3,18.8,22.983333333333334,0
2,5,3.19,1,N,13,246,1,12.5,0,0.5,3.99,0,0.3,17.29,11.966666666666667,0
1,1,3.4,1,N,107,236,1,14.5,0.5,0.5,3.95,0,0.3,19.75,18.05,0
2,1,4.36,1,N,249,255,1,19,0.5,0.5,4.75,0,0.3,25.05,28.166666666666668,1
2,1,0.37,1,N,237,237,1,8,0,0.5,1.76,0,0.3,10.56,11.35,0
2,1,0.62,1,N,141,229,1,4,0.5,0.5,1.32,0,0.3,6.62,2.783333333333333,0
1,2,1.5,1,N,114,186,1,10.5,0.5,0.5,2.35,0,0.3,14.15,14.366666666666667,1
1,1,2.9,1,N,230,79,1,12,0.5,0.5,2.65,0,0.3,15.95,13.416666666666666,0
1,4,1.5,1,N,166,74,1,10.5,0,0.5,2,0,0.3,13.3,14.816666666666666,0
1,1,0.9,1,N,170,100,1,9.5,0,0.5,1.5,0,0.3,11.8,14.7,0
1,1,1.8,1,N,90,230,1,9.5,0,0.5,2.58,0,0.3,12.88,11.066666666666666,0
2,1,0.55,1,N,234,107,1,5,0.5,0.5,1.26,0,0.3,7.56,4.1,1
2,3,9.4,1,N,186,138,1,36.5,0,0.5,8.61,5.76,0.3,51.67,43.083333333333336,0
2,1,1.43,1,N,239,263,1,10,0,0.5,2.16,0,0.3,12.96,13.216666666666667,0
2,5,0.36,1,N,158,249,1,4.5,0.5,0.5,1.16,0,0.3,6.96,4.5,1
2,1,7.39,1,N,189,230,1,27.5,0,0.5,4,0,0.3,32.3,33.88333333333333,1
2,3,13.02,1,N,233,138,1,37,0,0.5,8.71,5.76,0.3,52.27,28.916666666666668,0
2,5,6.43,1,N,79,7,1,24,0,0.5,4.96,0,0.3,29.76,27.516666666666666,1
2,2,0.55,1,N,161,163,1,4,0,0.5,0.96,0,0.3,5.76,2.9833333333333334,0
1,1,1.4,1,N,141,140,1,7.5,0.5,0.5,1,0,0.3,9.8,6.8,0
2,1,3.2,1,N,148,164,1,13.5,0,0.5,2.86,0,0.3,17.16,16.333333333333332,1
1,1,4.2,1,N,4,255,1,16.5,0.5,0.5,3.55,0,0.3,21.35,18.05,0
2,1,2.84,1,N,236,143,1,15,0,0.5,3.16,0,0.3,18.96,21.633333333333333,0
2,6,0.98,1,N,234,137,1,6,0.5,0.5,1.46,0,0.3,8.76,5.366666666666666,0
1,1,1.2,1,N,229,162,1,7.5,0,0.5,1.7,0,0.3,10,9.166666666666666,0
1,2,14.2,1,N,138,88,1,45.5,0,0,12.85,5.76,0.3,64.41,52.61666666666667,0
2,1,2.91,1,N,164,170,1,11.5,0.5,0.5,3.71,5.76,0.3,22.27,11.583333333333334,1
1,1,5.8,1,N,164,80,1,20,0.5,0.5,4.25,0,0.3,25.55,18.533333333333335,1
1,1,0.9,1,N,141,162,1,5.5,0,0.5,0.7,0,0.3,7,5.133333333333334,0
2,1,0.93,1,N,263,237,1,5,0.5,0.5,1.26,0,0.3,7.56,3.4833333333333334,0
2,2,0.43,1,N,237,236,1,3.5,0,0.5,0.86,0,0.3,5.16,1.3166666666666667,0
1,1,1,1,N,13,88,1,7,0,0.5,2.3,0,0.3,10.1,7.266666666666667,0
2,1,4.18,1,N,140,148,1,17,0.5,0.5,1.83,0,0.3,20.13,18.483333333333334,1
2,1,1.56,1,N,170,79,1,9,0.5,0.5,2.06,0,0.3,12.36,11.266666666666667,1
1,1,1.2,1,N,230,142,1,6.5,0,0.5,2.7,0,0.3,10,5.966666666666667,0
2,2,3.59,1,N,239,234,1,17.5,0,0.5,3.66,0,0.3,21.96,25.7,0
2,5,0.73,1,N,262,263,1,5,0.5,0.5,1.58,0,0.3,7.88,4.033333333333333,0
1,1,2.7,1,N,161,249,1,16,0.5,0.5,3.7,0,0.3,21,24.2,1
1,1,1.1,1,N,230,186,1,6.5,0,0.5,1.45,0,0.3,8.75,6.75,1
2,2,10.66,1,N,231,223,1,30,0.5,0.5,7.82,0,0.3,39.12,18.85,0
2,1,0.54,1,N,100,186,1,6,0,0.5,1.36,0,0.3,8.16,7.033333333333333,0
2,1,1.94,1,N,146,223,1,9.5,0.5,0.5,2.16,0,0.3,12.96,9.75,0
2,6,1,1,N,113,107,1,5.5,0,0.5,1.26,0,0.3,7.56,4.966666666666667,0
1,4,2.8,1,N,144,100,1,13,0.5,0.5,2.57,0,0.3,16.87,16.3,1
1,1,2.1,1,N,141,48,1,12,0,0.5,5,0,0.3,17.8,16.45,0
1,1,1.2,1,N,237,229,1,6.5,0.5,0.5,1.55,0,0.3,9.35,5.933333333333334,0
1,1,11.3,1,N,138,142,1,41,0,0.5,9.51,5.76,0.3,57.07,52.95,0
2,1,3.84,1,N,238,161,1,15.5,0,0.5,3.26,0,0.3,19.56,16.916666666666668,0
1,1,0.7,1,N,125,114,1,5.5,0,0.5,1.25,0,0.3,7.55,5.566666666666666,1
2,1,1.64,1,N,237,43,1,8,0,0.5,1.76,0,0.3,10.56,8.7,0
2,1,3.64,1,N,144,181,1,17,0,0.5,4.45,0,0.3,22.25,23.133333333333333,1
2,1,1.1,1,N,263,75,1,5,0.5,0.5,1.26,0,0.3,7.56,2.9833333333333334,1
1,1,1,1,N,163,100,1,6,0,0.5,0.5,0,0.3,7.3,5.716666666666667,0
2,1,0.63,1,N,246,246,1,5,0.5,0.5,1.26,0,0.3,7.56,4.016666666666667,0
1,1,3.4,1,N,48,41,1,13.5,0.5,0.5,2.22,0,0.3,17.02,12.633333333333333,0
1,1,0.5,1,N,238,239,1,4.5,0,0.5,1.3,0,0.3,6.6,3.4166666666666665,0
2,1,1.94,1,N,237,75,1,7.5,0.5,0.5,2.64,0,0.3,11.44,6.766666666666667,0
2,1,2.37,1,N,246,107,1,15.5,0,0.5,2,0,0.3,18.3,24.233333333333334,1
1,1,3.5,1,N,143,158,1,13.5,0,0.5,2,0,0.3,16.3,16.3,0
1,1,1.8,1,N,87,33,1,8,0.5,0.5,1.85,0,0.3,11.15,6.583333333333333,1
2,5,1.51,1,N,114,13,1,8,0,0.5,1.76,0,0.3,10.56,8.766666666666667,0
2,2,16.09,1,N,186,58,1,46,0.5,0.5,9.46,0,0.3,56.76,35.1,0
2,1,1.46,1,N,237,262,1,9.5,0,0.5,2.06,0,0.3,12.36,13.233333333333333,0
2,1,1.12,1,N,230,170,1,8.5,0,0.5,1.4,0,0.3,10.7,11.483333333333333,0
1,1,2.1,1,N,141,238,1,8.5,0.5,0.5,1.95,0,0.3,11.75,7.416666666666667,1
2,1,1.74,1,N,90,230,1,8,0.5,0.5,5,0,0.3,14.3,7.466666666666667,0
2,1,2.48,1,N,249,233,1,11,0.5,0.5,2.46,0,0.3,14.76,11.966666666666667,0
1,4,2.5,1,N,232,80,1,12.5,0.5,0.5,4,0,0.3,17.8,14.083333333333334,1
1,2,3.4,1,N,144,189,1,14,0.5,0.5,1,0,0.3,16.3,15.616666666666667,1
2,2,1.5,1,N,50,239,1,7,0.5,0.5,1.66,0,0.3,9.96,6.233333333333333,0
2,5,6.76,1,N,186,255,1,27,0.5,0.5,7.08,0,0.3,35.38,33.016666666666666,0
2,6,1.36,1,N,163,100,1,8.5,0.5,0.5,1.96,0,0.3,11.76,10.533333333333333,1
1,2,9.8,1,N,181,238,1,36,0.5,0.5,7.45,0,0.3,44.75,45.833333333333336,1
1,2,1.3,1,N,246,186,1,9.5,0,0.5,1.5,0,0.3,11.8,13.483333333333333,0
1,1,1.7,1,N,236,142,1,10,0,0.5,2.15,0,0.3,12.95,12.183333333333334,0
2,1,1.23,1,N,237,162,1,8.5,0,0.5,2.32,0,0.3,11.62,10.883333333333333,0
1,1,1.4,1,N,79,158,1,7.5,0.5,0.5,1,0,0.3,9.8,8.5,1
2,2,0.72,1,N,161,163,1,8.5,0,0.5,1.86,0,0.3,11.16,12.35,0
1,1,0.9,1,N,48,68,1,5.5,0.5,0.5,1.35,0,0.3,8.15,4.3,0
1,1,0.7,1,N,161,237,1,5.5,0,0.5,1.85,0,0.3,8.15,5.233333333333333,1
1,1,3.3,1,N,138,7,1,13.5,0.5,0.5,2,0,0.3,16.8,13.883333333333333,1
2,2,1.62,1,N,107,162,1,8.5,0,0.5,1.86,0,0.3,11.16,9.95,0
2,1,0.97,1,N,107,249,1,6,0.5,0.5,2.19,0,0.3,9.49,5.5,1
2,1,1.31,1,N,239,238,1,7.5,0,0.5,2.08,0,0.3,10.38,7.883333333333334,0
1,1,1.5,1,N,236,141,1,7.5,0,0.5,1.25,0,0.3,9.55,7.083333333333333,1
2,1,0.91,1,N,186,234,1,5.5,0,0.5,1.89,0,0.3,8.19,4.466666666666667,0
1,1,7.1,1,N,114,166,1,25,0.5,0.5,6.55,0,0.3,32.85,26.683333333333334,0
1,1,1.9,1,N,263,162,1,7.5,0,0.5,1,0,0.3,9.3,6.6,0
2,4,0.93,1,N,161,48,1,6,0.5,0.5,1.2,0,0.3,8.5,6.95,0
1,1,0.6,1,N,141,263,1,4,0,0.5,0.5,0,0.3,5.3,2.6,0
2,2,8.18,1,N,138,164,1,33.5,0,0.5,8.01,5.76,0.3,48.07,47.1,0
1,1,1.8,1,N,246,143,1,7.5,0.5,0.5,1.5,0,0.3,10.3,6.5,0
2,3,25.25,1,N,132,200,1,77,0,0.5,20.89,5.76,0.3,104.45,76.15,0
2,1,1.1,1,N,161,164,1,5.5,0,0.5,1.26,0,0.3,7.56,4.316666666666666,0
2,1,0.96,1,N,137,224,1,5.5,0.5,0.5,1.36,0,0.3,8.16,4.35,0
